,Date,CCI
1742,2012-10-08,100.0815
1743,2012-10-09,100.291
1744,2012-10-10,100.3367
1745,2012-10-11,100.31
1746,2012-10-12,100.3778
1747,2012-10-13,100.3518
1748,2012-10-14,100.2501
1749,2012-10-15,100.383
1750,2012-10-16,100.6065
1751,2012-10-17,100.905
1752,2012-10-18,101.0088
1753,2012-10-19,100.8111
1754,2012-10-20,100.5359
1755,2012-10-21,100.2598
1756,2012-10-22,100.0215
1757,2012-10-23,99.91278
1758,2012-10-24,100.1044
1759,2012-10-25,100.1536
1760,2012-10-26,99.839
1761,2012-10-27,99.34325
1762,2012-10-28,98.78623
1763,2012-10-29,98.30984000000001
1764,2012-10-30,97.99240999999999
1765,2012-10-31,98.13303
1766,2012-11-01,98.46921999999999
1767,2012-11-02,98.71204
1768,2012-11-03,98.7664
1769,2012-11-04,98.68036
1770,2012-11-05,98.61067
1771,2012-11-06,98.7299
1772,2012-11-07,98.97816
1773,2012-11-08,99.16911
1774,2012-11-09,99.33794
1775,2012-11-10,99.37156999999999
1776,2012-11-11,99.36312
1777,2012-11-12,99.39287
1778,2012-11-13,99.37103
1779,2012-11-14,99.21335
1780,2012-11-15,99.11478000000001
1781,2012-11-16,99.07772
1782,2012-11-17,98.91124
1783,2012-11-18,98.7915
1784,2012-11-19,98.83199
1785,2012-11-20,98.98465
1786,2012-11-21,99.11861999999999
1787,2012-11-22,99.17236
1788,2012-11-23,99.1256
1789,2012-11-24,98.90596
1790,2012-11-25,98.66749
1791,2012-11-26,98.53997
1792,2012-11-27,98.53615
1793,2012-11-28,98.44077
1794,2012-11-29,98.03298000000001
1795,2012-11-30,97.60576
1796,2012-12-01,97.26728
1797,2012-12-02,97.03033
1798,2012-12-03,96.62735
1799,2012-12-04,95.91972
1800,2012-12-05,95.00917
1801,2012-12-06,95.28995
1802,2012-12-07,96.13929
1803,2012-12-08,96.90897
1804,2012-12-09,97.40098
1805,2012-12-10,97.68077
1806,2012-12-11,97.90993
1807,2012-12-12,98.09286999999999
1808,2012-12-13,98.19215
1809,2012-12-14,98.1244
1810,2012-12-15,97.93269000000001
1811,2012-12-16,97.58929
1812,2012-12-17,97.18072
1813,2012-12-18,96.97295
1814,2012-12-19,97.06468000000001
1815,2012-12-20,97.52231
1816,2012-12-21,98.30796
1817,2012-12-22,99.52422
1818,2012-12-23,101.0988
1819,2012-12-24,101.8663
1820,2012-12-25,101.9754
1821,2012-12-26,102.00200000000001
1822,2012-12-27,102.3036
1823,2012-12-28,103.2838
1824,2012-12-29,104.3692
1825,2012-12-30,105.1089
1826,2012-12-31,104.9837
1827,2013-01-01,104.9837
1828,2013-01-02,104.9837
1829,2013-01-03,104.9837
1830,2013-01-04,104.9837
1831,2013-01-05,104.9837
1832,2013-01-06,104.9837
1833,2013-01-07,104.9837
1834,2013-01-08,104.9837
1835,2013-01-09,104.9837
1836,2013-01-10,104.9837
1837,2013-01-11,104.9837
1838,2013-01-12,104.9837
1839,2013-01-13,104.9837
1840,2013-01-14,104.9837
1841,2013-01-15,104.9837
1842,2013-01-16,104.9837
1843,2013-01-17,104.9837
1844,2013-01-18,104.9837
1845,2013-01-19,104.9837
1846,2013-01-20,104.9837
1847,2013-01-21,104.9837
1848,2013-01-22,104.9837
1849,2013-01-23,104.9837
1850,2013-01-24,104.9837
1851,2013-01-25,104.9837
1852,2013-01-26,104.9837
1853,2013-01-27,104.9837
1854,2013-01-28,104.9837
1855,2013-01-29,104.9837
1856,2013-01-30,104.9837
1857,2013-01-31,104.9837
1858,2013-02-01,104.3361
1859,2013-02-02,103.5542
1860,2013-02-03,102.9778
1861,2013-02-04,102.7393
1862,2013-02-05,102.883
1863,2013-02-06,103.1401
1864,2013-02-07,103.13600000000001
1865,2013-02-08,103.0802
1866,2013-02-09,103.08200000000001
1867,2013-02-10,102.954
1868,2013-02-11,102.1446
1869,2013-02-12,100.1768
1870,2013-02-13,97.27251
1871,2013-02-14,95.5585
1872,2013-02-15,95.33894000000001
1873,2013-02-16,96.0145
1874,2013-02-17,96.85181
1875,2013-02-18,97.6991
1876,2013-02-19,100.1511
1877,2013-02-20,99.75362
1878,2013-02-21,99.18122
1879,2013-02-22,98.36184
1880,2013-02-23,97.51795
1881,2013-02-24,96.73074
1882,2013-02-25,96.22359
1883,2013-02-26,96.23038000000001
1884,2013-02-27,96.38195
1885,2013-02-28,96.4165
1886,2013-03-01,96.34183
1887,2013-03-02,96.10945
1888,2013-03-03,95.86853
1889,2013-03-04,96.0638
1890,2013-03-05,96.60061
1891,2013-03-06,97.18758000000001
1892,2013-03-07,97.65153000000001
1893,2013-03-08,98.11256
1894,2013-03-09,98.52013000000001
1895,2013-03-10,98.95408
